title,vacancy_type,work_experience,salary,currency,region,salary_min,salary_max,exp_min,exp_max,salary_mean,exp_mean,country
Senior Python developer (MLOps),SE,более 6 лет,от 3 500 EUR на руки,EUR,Лимассол,0,3500,6,6,2625,6,Кипр
Python Developer (Middle/Senior),SE,3–6 лет,от 2 000 до 4 000 USD до вычета налогов,USD,Кутаиси,2000,4000,3,6,3000,5,Грузия
Data Analyst (middle/senior),DA,3–6 лет,от 2 500 до 3 500 USD на руки,USD,Тбилиси,2500,3500,3,6,3000,5,Грузия
Linux DevOps Engineer,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Data Engineer (Python),other,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
С++ developer,SE,3–6 лет,до 5 000 USD на руки,USD,Тбилиси,0,5000,3,6,3750,5,Грузия
Your start in IT - QA Automation Training to become an Automation QA Intern,other,не требуется,з/п не указана,,Тбилиси,0,0,0,0,0,0,Грузия
Data analyst (Tableau),DA,3–6 лет,от 1 500 до 3 500 EUR на руки,EUR,Тбилиси,1500,3500,3,6,2500,5,Грузия
DevOPS / SRE Engineer,other,3–6 лет,от 4 500 до 6 000 USD на руки,USD,Тбилиси,4500,6000,3,6,5250,5,Грузия
Data Scientist,DS,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
Senior Java/Kotlin разработчик (eCom),SE,более 6 лет,до 6 000 USD до вычета налогов,USD,Тбилиси,0,6000,6,6,4500,6,Грузия
Senior pentest engineer (Relocation),other,3–6 лет,от 2 000 до 4 500 EUR на руки,EUR,Тбилиси,2000,4500,3,6,3250,5,Грузия
Automation QA engineer Middle,other,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
DevOps Engineer,other,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
Senior Product / Web Analyst,WB,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
DevOps Middle Engineer,other,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
Senior Java разработчик (Hospitality),SE,3–6 лет,до 5 000 USD до вычета налогов,USD,Тбилиси,0,5000,3,6,3750,5,Грузия
Senior System Analyst,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Data Engineer,other,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
Tableau BI Developer,SE,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
DevOps Senior Engineer,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Senior C++ Developer (Connected Device SW Platform),SE,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Senior Embedded Software Engineer,other,более 6 лет,з/п не указана,,Батуми,0,0,6,6,0,6,Грузия
Senior Java developer (POS Hospitality),SE,3–6 лет,до 5 000 USD до вычета налогов,USD,Тбилиси,0,5000,3,6,3750,5,Грузия
Senior Embedded Software Engineer,other,более 6 лет,з/п не указана,,Тбилиси,0,0,6,6,0,6,Грузия
Fullstack developer (Java+JavaScript),SE,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
High-Speed Hardware Design Engineer,other,более 6 лет,з/п не указана,,Батуми,0,0,6,6,0,6,Грузия
QA Lead (remote),other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Embedded Emgineer (Key fob/Access System),other,более 6 лет,з/п не указана,,Тбилиси,0,0,6,6,0,6,Грузия
QA Automation Engineer (Vehicle portal),other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Performance Testing Engineer,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
High-Speed Hardware Design Engineer,other,более 6 лет,з/п не указана,,Тбилиси,0,0,6,6,0,6,Грузия
Python Developer,SE,3–6 лет,з/п не указана,,Сухум,0,0,3,6,0,5,Грузия
Solutions Architect,other,более 6 лет,з/п не указана,,Тбилиси,0,0,6,6,0,6,Грузия
Technical Architect Node.Js,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
System architect,other,более 6 лет,з/п не указана,,Тбилиси,0,0,6,6,0,6,Грузия
"Senior Backend (Python, Go) Developer (Connected Device Platform team)",SE,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Senior Systems Engineer / Senior C ++ Developer,SE,более 6 лет,з/п не указана,,Тбилиси,0,0,6,6,0,6,Грузия
Python Technical Lead,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Lead Observability Engineer,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
SQL/ETL developer,SE,1–3 года,з/п не указана,,Ростов-на-Дону,0,0,1,3,0,2,Россия
QA Engineer (Feeds Team),other,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
Growth and Marketing Analyst,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Technical support engineer (2nd line),other,не требуется,з/п не указана,,Тбилиси,0,0,0,0,0,0,Грузия
Technical support engineer (2nd line),other,не требуется,з/п не указана,,Кутаиси,0,0,0,0,0,0,Грузия
Big Data Engineer,BD,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Financial Analyst,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Senior Backend Developer,SE,более 6 лет,до 5 000 EUR до вычета налогов,EUR,Тбилиси,0,5000,6,6,3750,6,Грузия
DevOps Engineer,other,более 6 лет,до 6 000 EUR до вычета налогов,EUR,Тбилиси,0,6000,6,6,4500,6,Грузия
Senior HPC Engineer,other,более 6 лет,з/п не указана,,Тбилиси,0,0,6,6,0,6,Грузия
Senior PHP Developer (to Cyprus),SE,более 6 лет,от 4 500 EUR на руки,EUR,Лимассол,0,4500,6,6,3375,6,Кипр
QA lead (Software update),other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Lead QA Automation Engineer (Blockchain DeFi),other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Senior / Lead Project Manager,other,более 6 лет,з/п не указана,,Тбилиси,0,0,6,6,0,6,Грузия
Frontend developer (Angular),SE,1–3 года,до 3 000 USD на руки,USD,Тбилиси,0,3000,1,3,2250,2,Грузия
Data Engineer (RnD),other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Data Engineer (GoLang Developer),SE,3–6 лет,з/п не указана,,Лимассол,0,0,3,6,0,5,Кипр
Go developer,SE,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Unix Administrator,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Fullstack Developer с навыками DevOps,SE,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
React Native/React developer with Python,SE,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
React Native/React developer,SE,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
Senior DevOps Engineer / Cloud Solution Architect,other,3–6 лет,от 6 000 до 9 000 USD на руки,USD,Тбилиси,6000,9000,3,6,7500,5,Грузия
Linux System Administrator,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
ELK support engineer (Systems Engineer),other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
QA Engineer,other,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
Senior DevOps Engineer,other,3–6 лет,з/п не указана,,Тбилиси,0,0,3,6,0,5,Грузия
Senior/Middle DevOps,other,1–3 года,з/п не указана,,Тбилиси,0,0,1,3,0,2,Грузия
Junior Researcher / Recruiter,other,не требуется,з/п не указана,,Тбилиси,0,0,0,0,0,0,Грузия
Linux Backend Developer,SE,3–6 лет,от 4 000 до 5 700 EUR до вычета налогов,EUR,София,4000,5700,3,6,4850,5,Болгария
Full-stack Python Developer,SE,3–6 лет,от 4 500 до 5 000 EUR на руки,EUR,Ереван,4500,5000,3,6,4750,5,Армения
Full-stack Python Developer,SE,3–6 лет,от 4 500 до 5 000 EUR на руки,EUR,Рига,4500,5000,3,6,4750,5,Латвия
Full-stack Python Developer,SE,3–6 лет,от 4 500 до 5 000 EUR на руки,EUR,Лимасол,4500,5000,3,6,4750,5,Кипр
Python Backend Developer,SE,1–3 года,з/п не указана,,Ереван,0,0,1,3,0,2,Армения
Python разработчик в CM.Expert (Яндекс Вертикали),SE,3–6 лет,з/п не указана,,Белград,0,0,3,6,0,5,Сербия
Python test automation engineer,other,1–3 года,з/п не указана,,Белград,0,0,1,3,0,2,Сербия
Senior Python developer,SE,3–6 лет,з/п не указана,,Кишинёв,0,0,3,6,0,5,Молдавия
Team Lead Python Test Automation,other,3–6 лет,з/п не указана,,Белград,0,0,3,6,0,5,Сербия
Senior Python developer,SE,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Python разработчик в CM.Expert (Яндекс Вертикали),SE,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
"Разработчик С++/Python (middle), Linux, backend, embedded",SE,1–3 года,от 120 000 до 180 000 руб. на руки,RUB,Ереван,120000,180000,1,3,150000,2,Армения
Senior Python Developer,SE,более 6 лет,от 6 000 USD на руки,USD,Ереван,0,6000,6,6,4500,6,Армения
Backend-разработчик в travel tech компанию WeGoTrip (Middle+ Python-developer),SE,3–6 лет,з/п не указана,,Анкара,0,0,3,6,0,5,Турция
С/С++ Linux разработчик (remote),SE,более 6 лет,до 8 000 USD до вычета налогов,USD,Сиэтл,0,8000,6,6,6000,6,Соединенные Штаты Америки
"Senior Backend Developer (Python, GO)",SE,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
Full-Stack Python Developer,SE,3–6 лет,з/п не указана,,Хельсинки,0,0,3,6,0,5,Финляндия
Linux DevOps Engineer,other,3–6 лет,з/п не указана,,Подгорица,0,0,3,6,0,5,Черногория
Data Scientist (Core),DS,3–6 лет,з/п не указана,,Белград,0,0,3,6,0,5,Сербия
Senior Python developer (remote/Serbia),SE,3–6 лет,з/п не указана,,Белград,0,0,3,6,0,5,Сербия
Linux DevOps Engineer,other,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Senior DevOps Engineer (Yepp),other,3–6 лет,от 5 000 до 8 500 EUR на руки,EUR,Кипр,5000,8500,3,6,6750,5,Кипр
Data Scientist (Core),DS,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Senior Python Backend Developer (to Cyprus),SE,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
DevOps Engineer,other,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Senior Marketing Analyst (Remote),other,3–6 лет,от 3 000 EUR на руки,EUR,Москва,0,3000,3,6,2625,5,Россия
DevOps Engineer (to Cyprus),other,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
Senior DevOps Engineer (Growth),other,3–6 лет,от 5 000 до 6 000 EUR на руки,EUR,Кипр,5000,6000,3,6,5500,5,Кипр
QA Automation Engineer,other,1–3 года,з/п не указана,,Белград,0,0,1,3,0,2,Сербия
Developer Unity 3D/C# (middle),SE,3–6 лет,от 2 800 EUR до вычета налогов,EUR,Кипр,0,2800,3,6,2100,5,Кипр
Go Developer (to Cyprus),SE,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
Senior Java/Kotlin разработчик (eCom),SE,более 6 лет,до 6 000 USD до вычета налогов,USD,Ереван,0,6000,6,6,4500,6,Армения
Data Analyst,DA,1–3 года,з/п не указана,,Белград,0,0,1,3,0,2,Сербия
Senior Linux engineer,other,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
C# Developer,SE,1–3 года,з/п не указана,,Ереван,0,0,1,3,0,2,Армения
Senior JS Developer (Cyprus),SE,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
DevOps Cloud Architect,other,более 6 лет,з/п не указана,,Лимасол,0,0,6,6,0,6,Кипр
QA Automation Engineer,other,1–3 года,з/п не указана,,Ереван,0,0,1,3,0,2,Армения
Data Analyst,DA,1–3 года,з/п не указана,,Ереван,0,0,1,3,0,2,Армения
Senior Java Developer,SE,3–6 лет,от 3 500 до 5 700 EUR до вычета налогов,EUR,София,3500,5700,3,6,4600,5,Болгария
Python Developer,SE,3–6 лет,з/п не указана,,Вильнюс,0,0,3,6,0,5,Литва
Senior SRE (to Cyprus),other,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
Head of Analyst,other,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
Senior Software Developer,SE,3–6 лет,от 3 000 до 4 500 EUR на руки,EUR,Кипр,3000,4500,3,6,3750,5,Кипр
Senior FPGA Designer (to Dubai),other,более 6 лет,з/п не указана,,Дубай,0,0,6,6,0,6,Объединенные Арабские Эмираты
QA Lead (remote),other,3–6 лет,з/п не указана,,Белград,0,0,3,6,0,5,Сербия
QA Automation Engineer,other,более 6 лет,з/п не указана,,Кипр,0,0,6,6,0,6,Кипр
QA mobile,other,1–3 года,з/п не указана,,Кипр,0,0,1,3,0,2,Кипр
Middle/Senior Android Developer в Feature team,SE,1–3 года,з/п не указана,,Кипр,0,0,1,3,0,2,Кипр
QA Lead (remote),other,3–6 лет,з/п не указана,,Будапешт,0,0,3,6,0,5,Венгрия
QA Lead (remote),other,3–6 лет,з/п не указана,,Анкара,0,0,3,6,0,5,Турция
QA Lead (remote),other,3–6 лет,з/п не указана,,Подгорица,0,0,3,6,0,5,Черногория
QA Lead (remote),other,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
QA Lead (remote),other,3–6 лет,з/п не указана,,Бухарест,0,0,3,6,0,5,Румыния
QA Lead (remote),other,3–6 лет,з/п не указана,,София,0,0,3,6,0,5,Болгария
Head of Talent Acquisition / Recruiting Manager,other,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
HR менеджер,other,1–3 года,з/п не указана,,Ереван,0,0,1,3,0,2,Армения
Разработчик GO Вертикали,SE,3–6 лет,з/п не указана,,Белград,0,0,3,6,0,5,Сербия
Разработчик GO Вертикали,SE,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Android-разработчик в Вертикали,SE,3–6 лет,з/п не указана,,Белград,0,0,3,6,0,5,Сербия
Senior HPC Engineer,other,более 6 лет,з/п не указана,,Ереван,0,0,6,6,0,6,Армения
Lead Observability Engineer,other,3–6 лет,з/п не указана,,Кишинёв,0,0,3,6,0,5,Молдавия
Lead Observability Engineer,other,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Lead QA Automation Engineer (Blockchain DeFi),other,3–6 лет,з/п не указана,,Кишинёв,0,0,3,6,0,5,Молдавия
Fullstack Developer с навыками DevOps,SE,3–6 лет,з/п не указана,,Кишинёв,0,0,3,6,0,5,Молдавия
Python Developer,SE,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Platform Engineer (PaaS team),other,3–6 лет,от 5 000 EUR на руки,EUR,Лимасол,0,5000,3,6,3750,5,Кипр
QA Automation Engineer,other,3–6 лет,з/п не указана,,Белград,0,0,3,6,0,5,Сербия
Developer - Сloud services,SE,3–6 лет,з/п не указана,,Белград,0,0,3,6,0,5,Сербия
Senior Frontend developer (remote),SE,более 6 лет,от 2 500 EUR на руки,EUR,Кипр,0,2500,6,6,1875,6,Кипр
Senior QA Automation Engineer,other,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Senior QA Engineer,other,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Senior Linux/Unix engineer (American investment fund),other,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
Разработчик бэкенда в Путешествия,SE,3–6 лет,з/п не указана,,Белград,0,0,3,6,0,5,Сербия
Разработчик бэкенда в Путешествия,SE,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
System engineer (DevOps),other,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
Security engineer,other,3–6 лет,от 4 000 EUR до вычета налогов,EUR,София,0,4000,3,6,3000,5,Болгария
Senior Frontend/JavaScript Developer,SE,3–6 лет,от 4 000 до 5 700 EUR до вычета налогов,EUR,София,4000,5700,3,6,4850,5,Болгария
DevOps Engineer,other,более 6 лет,до 6 000 EUR до вычета налогов,EUR,Ереван,0,6000,6,6,4500,6,Армения
Product Manager SaaS Portal,other,3–6 лет,от 4 900 до 6 000 EUR до вычета налогов,EUR,София,4900,6000,3,6,5450,5,Болгария
Community Manager / Evangelist,other,3–6 лет,от 3 500 до 4 500 EUR до вычета налогов,EUR,София,3500,4500,3,6,4000,5,Болгария
Team lead C++,other,более 6 лет,з/п не указана,,Кипр,0,0,6,6,0,6,Кипр
Android-разработчик в Вертикали,SE,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
QA Engineer (GKT Team),other,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Senior Python Developer (remote),SE,более 6 лет,от 4 000 EUR на руки,EUR,Ереван,0,4000,6,6,3000,6,Армения
Senior DevOps Engineer,other,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
Senior Android Developer в Platform team,SE,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
Unity developer (Cyprus),SE,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
Lead QA Automation Engineer (Blockchain DeFi),other,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Senior DevOps Engineer,other,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
Senior DevOps Engineer,other,3–6 лет,з/п не указана,,Берлин,0,0,3,6,0,5,Германия
"Site Reliability Engineer / SRE (Belgrade, Serbia)",other,3–6 лет,з/п не указана,,Белград,0,0,3,6,0,5,Сербия
Andersen Trainee,other,не требуется,з/п не указана,,Польша,0,0,0,0,0,0,Польша
Data Scientist,DS,3–6 лет,з/п не указана,,Польша,0,0,3,6,0,5,Польша
"Преподаватель IT-курса ""QA""",other,1–3 года,з/п не указана,,Польша,0,0,1,3,0,2,Польша
Преподаватель IT-курсов (QA),other,1–3 года,з/п не указана,,Кипр,0,0,1,3,0,2,Кипр
Fullstack Developer с навыками DevOps инженера,SE,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
System Administrator,other,1–3 года,з/п не указана,,Белград,0,0,1,3,0,2,Сербия
System Administrator,other,1–3 года,з/п не указана,,Ханой,0,0,1,3,0,2,Вьетнам
Middle+ QA engineer в travel tech компанию WeGoTrip,other,3–6 лет,з/п не указана,,Анкара,0,0,3,6,0,5,Турция
Backend Game developer (C++),SE,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
Product Analyst,other,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
C++ developer Berlin,SE,не требуется,от 7 500 до 10 834 EUR до вычета налогов,EUR,Берлин,7500,10834,0,0,9167,0,Германия
Senior Python Developer,SE,более 6 лет,з/п не указана,,Дубай,0,0,6,6,0,6,Объединенные Арабские Эмираты
Senior Linux engineer,other,3–6 лет,з/п не указана,,Ереван,0,0,3,6,0,5,Армения
DevOPS engineer (SRE),other,3–6 лет,от 8 000 USD до вычета налогов,USD,Оттава,0,8000,3,6,6000,5,Канада
Middle/Senior Python developer (remote),SE,3–6 лет,от 3 000 до 5 000 USD до вычета налогов,USD,Ереван,3000,5000,3,6,4000,5,Армения
Senior DevOps Engineer,other,3–6 лет,з/п не указана,,Вильнюс,0,0,3,6,0,5,Литва
DWH-инженер,SE,3–6 лет,от 120 000 до 250 000 руб. на руки,RUB,Кипр,120000,250000,3,6,185000,5,Кипр
Automation QA Intern,other,не требуется,з/п не указана,,Дакка,0,0,0,0,0,0,Бангладеш
QML Qt developer,SE,3–6 лет,з/п не указана,,Кипр,0,0,3,6,0,5,Кипр
"Senior/Lead Software Engineer (.NET), Relocation: Yerevan",other,более 6 лет,от 3 000 до 5 500 USD на руки,USD,Ереван,3000,5500,6,6,4250,6,Армения
Backend-разработчик (Python),SE,1–3 года,от 80 000 до 170 000 руб. на руки,RUB,Бишкек,80000,170000,1,3,125000,2,Кыргызстан
Разработчик Python,SE,1–3 года,з/п не указана,,Бишкек,0,0,1,3,0,2,Кыргызстан
Python Developer (Middle/Senior),SE,3–6 лет,от 2 000 до 4 000 USD на руки,USD,Бишкек,2000,4000,3,6,3000,5,Кыргызстан
Middle Python developer,SE,3–6 лет,от 130 000 KGS на руки,KGS,Бишкек,0,130000,3,6,97500,5,Кыргызстан
Middle Python-разработчик,SE,1–3 года,з/п не указана,,Бишкек,0,0,1,3,0,2,Кыргызстан
Backend разработчик со знанием Python,SE,3–6 лет,от 2 500 до 3 000 USD на руки,USD,Бишкек,2500,3000,3,6,2750,5,Кыргызстан
QA-тестировщик,other,1–3 года,з/п не указана,,Бишкек,0,0,1,3,0,2,Кыргызстан
Администратор базы данных отдела информационных технологий,other,1–3 года,з/п не указана,,Бишкек,0,0,1,3,0,2,Кыргызстан
Бэкенд Разработчик (Middle),SE,3–6 лет,от 1 000 USD до вычета налогов,USD,Бишкек,0,1000,3,6,750,5,Кыргызстан
Middle Разработчик Python на платежную платформу,SE,1–3 года,от 36 000 000 сум на руки,,Ташкент,0,36000000,1,3,27000000,2,Узбекистан
Python Developer (Middle/Senior),SE,3–6 лет,от 2 000 до 4 000 USD на руки,USD,Ташкент,2000,4000,3,6,3000,5,Узбекистан
Python developer (backend),SE,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Middle Back-end Developer (удаленно),SE,3–6 лет,от 3 000 USD до вычета налогов,USD,Ташкент,0,3000,3,6,2250,5,Узбекистан
Senior Python Developer,SE,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Back-end developer (Python / Golang),SE,1–3 года,от 1 500 до 3 500 USD на руки,USD,Ташкент,1500,3500,1,3,2500,2,Узбекистан
Back-end QA (Python / Golang),other,1–3 года,от 1 000 до 1 500 USD на руки,USD,Ташкент,1000,1500,1,3,1250,2,Узбекистан
Senior Python developer,SE,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Backend разработчик со знанием Python,SE,3–6 лет,от 2 500 до 3 000 USD на руки,USD,Ташкент,2500,3000,3,6,2750,5,Узбекистан
Программист Python,other,3–6 лет,до 50 000 000 сум на руки,,Ташкент,0,50000000,3,6,37500000,5,Узбекистан
Data Engineer (Python),other,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Python/Java fullstack разработчик,SE,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Программист Python,other,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Middle Python Developer,SE,более 6 лет,з/п не указана,,Ташкент,0,0,6,6,0,6,Узбекистан
Python Developer (Преподаватель),SE,1–3 года,от 400 до 2 000 USD до вычета налогов,USD,Ташкент,400,2000,1,3,1200,2,Узбекистан
Your start in IT - QA Automation Training to become an Automation QA Intern,other,не требуется,з/п не указана,,Ташкент,0,0,0,0,0,0,Узбекистан
Тестировщик web-приложений,WB,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Senior Data Science Developer,DS,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Automation QA engineer Middle,other,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Fullstack Web Development Instructor,WB,1–3 года,з/п не указана,,Фергана,0,0,1,3,0,2,Узбекистан
Системный администратор (SysOps),other,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Разработчик программного обеспечения (Ментор - ассистент),SE,1–3 года,з/п не указана,,Фергана,0,0,1,3,0,2,Узбекистан
Senior Full Stack Developer for an IoT (In-ternet of Things) Platform,SE,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Lead Java Developer with AWS,SE,более 6 лет,з/п не указана,,Ташкент,0,0,6,6,0,6,Узбекистан
Unix Administrator,other,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Разработчик программного обеспечения (Ментор),SE,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Разработчик программного обеспечения (Ментор),SE,1–3 года,з/п не указана,,Фергана,0,0,1,3,0,2,Узбекистан
Инженер-программист,SE,3–6 лет,з/п не указана,,Навои,0,0,3,6,0,5,Узбекистан
Senior Java Developer,SE,более 6 лет,от 3 000 до 5 000 USD на руки,USD,Ташкент,3000,5000,6,6,4000,6,Узбекистан
Data Engineer,other,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Tableau BI Developer,SE,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Big Data Engineer,BD,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Site Reliability Engineer,other,не требуется,з/п не указана,,Акташ,0,0,0,0,0,0,Россия
Lead Observability Engineer,other,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Lead QA Automation Engineer (Blockchain DeFi),other,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Data Engineer,other,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Ведущий системный администратор,other,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Fullstack Developer с навыками DevOps,SE,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Разработчик продуктов больших данных,BD,не требуется,з/п не указана,,Ташкент,0,0,0,0,0,0,Узбекистан
Full Stack Developer (ASP.Net),SE,3–6 лет,от 800 до 1 500 USD до вычета налогов,USD,Ташкент,800,1500,3,6,1150,5,Узбекистан
DevOps-инженер (Системный инженер),SE,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Главный специалист (Администратор баз данных),other,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Consultant in Technology group (Cybersecurity and IT Risks),other,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Consultant in Technology group (Digital),other,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Php Middle Developer,SE,1–3 года,от 800 USD на руки,USD,Ташкент,0,800,1,3,600,2,Узбекистан
Java Senior инженер разработчик,SE,3–6 лет,от 2 000 до 2 500 USD на руки,USD,Ташкент,2000,2500,3,6,2250,5,Узбекистан
Middle Flutter разработчик,SE,3–6 лет,от 11 000 000 сум до вычета налогов,,Ташкент,0,11000000,3,6,8250000,5,Узбекистан
Senior Developer,SE,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Программист Java,other,3–6 лет,з/п не указана,,Ташкент,0,0,3,6,0,5,Узбекистан
Аналитик (в команду внедрения ботов),DA,1–3 года,з/п не указана,,Ташкент,0,0,1,3,0,2,Узбекистан
Python разработчик (backend),SE,1–3 года,з/п не указана,,Екатеринбург,0,0,1,3,0,2,Россия
Разработчик C++ (релокация в Dubai),SE,3–6 лет,от 6 000 до 8 000 USD на руки,USD,Дубай,6000,8000,3,6,7000,5,Объединенные Арабские Эмираты
Разработчик Solidity/Разработчик Rust/Разработчик Go/Разработчик python(удаленно),SE,3–6 лет,от 600 000 руб. на руки,RUB,Москва,0,600000,3,6,450000,5,Россия
